address,index
Doheny Road,0
9201,0.002505421
9169,0.004263514
9165,0.005108108
9163,0.005675676
9161,0.006256757
9159,0.006587838
9157,0.007047297
Cory Avenue,0.008159695
9151,0.009412162
9145,0.011816216
9131,0.014586487
9121,0.016292793
9119,0.017846847
9111,0.019515766
9109,0.020492343
9107,0.020999099
9105,0.022005856
9101,0.023370721
North Doheny Drive,0.024236608
9059,0.025968919
9051,0.027570271
9047,0.028793244
9043,0.029954055
9041,0.030940541
9039,0.032055406
Wetherly Drive,0.035570048
9021,0.037168919
9015,0.038810811
9009,0.041641892
8981,0.044209459
8969,0.047939189
8961,0.050412162
8951,0.05175
8949,0.052493243
8947,0.053087838
Hilldale Avenue,0.053958587
8929,0.056128378
8923,0.057601351
8919,0.058209459
8917,0.058831081
8915,0.059378378
8913,0.060027027
8911,0.06052027
8909,0.061432432
8901,0.062952703
North Clark Street,0.064219872
8873,0.067104521
8863,0.06925
8859,0.069790541
8857,0.070202703
8855,0.070493243
8853,0.070817568
8851,0.071790541
8849,0.073057111
Larrabee Street,0.074461835
8833,0.076114865
8831,0.078378378
8801,0.082804556
Horn Avenue,0.085589283
8795,0.086587838
8789,0.088351351
8775,0.096898649
Sherbourne Drive,0.099839388
8747,0.100581081
8743,0.101716216
8733,0.103993243
8721,0.106310811
8711,0.109013514
8673,0.110493243
8671,0.11097973
8669,0.111358108
8663,0.112912162
8661,0.113851351
8657,0.11477027
8653,0.115155405
8649,0.115945946
8645,0.116587838
8641,0.118027027
8635,0.119074324
8631,0.120222973
8627,0.121628378
8625,0.122655405
Sunset Plaza Drive,0.124106144
8619,0.124898649
8615,0.125601351
8611,0.126398649
8605,0.127425676
8601,0.129263514
8595,0.129995254
8591,0.130785795
8589,0.131197957
8585,0.132549308
8569,0.135508768
Londonderry Place,0.138038698
8555,0.139860119
8553,0.141373633
8547,0.143596606
8543,0.146427687
8537,0.148184444
8535,0.149076335
8533,0.150556065
8527,0.151522281
8525,0.152306065
8521,0.153103363
8501,0.156454714
Miller Drive,0.159452948
8499,0.159968227
8497,0.161535795
8495,0.163265525
8491,0.165360119
8489,0.165853363
8485,0.166474984
8481,0.167360119
8477,0.168603363
8469,0.171502011
8459,0.173974984
Queens Road,0.175709496
8439,0.179089849
8433,0.183697957
8401,0.192035795
North Kings Road,0.195480897
8371,0.199682389
8373,0.200887146
8363,0.203216173
8351,0.206067524
8341,0.21097293
8335,0.212391849
8301,0.220006713
North Sweetzer Avenue,0.221199039
8295,0.222324281
8293,0.222932389
8285,0.226797254
8275,0.228358065
8265,0.229837794
8255,0.233108065
Roxbury Road,0.239518732
8225,0.241195903
Marmont Lane,0.247667522
8201,0.250932389
8171,0.253249957
8165,0.25428374
8161,0.256067524
8157,0.257202659
Selma Avenue,0.25941218
8117,0.266581038
Crescent Heights Boulevard,0.269291571
8101,0.272310767
Laurel Canyon Boulevard,0.281527757
8033,0.276628335
8031,0.27703374
8029,0.277635092
8027,0.277655362
8025,0.277898605
8023,0.278581038
8017,0.278736443
8005,0.279270227
8001,0.28006275
North Laurel Avenue,0.281527757
7979,0.285547254
7955,0.291162119
North Hayworth Avenue,0.295050136
7919,0.298060767
7901,0.304148605
North Fairfax Avenue,0.308200168
7865,0.313006713
7855,0.314844551
7851,0.317168876
North Orange Grove Avenue,0.31892899
7833,0.321304011
7813,0.324824281
7811,0.325486443
7807,0.3262432
7805,0.326810767
